time	V(vout)
7.694587753064880e-08	1.262665e-01
7.695787204854574e-08	1.262665e-01
7.698186108433963e-08	1.262666e-01
7.702983915592742e-08	1.262667e-01
7.704183367382436e-08	1.262667e-01
7.706582270961825e-08	1.262668e-01
7.711380078120603e-08	1.262669e-01
7.712579529910297e-08	1.262669e-01
7.714978433489687e-08	1.262670e-01
7.719776240648465e-08	1.262671e-01
7.720975692438159e-08	1.262671e-01
7.723374596017548e-08	1.262672e-01
7.728172403176327e-08	1.262673e-01
7.729371854966021e-08	1.262673e-01
7.731770758545410e-08	1.262674e-01
7.736568565704188e-08	1.262675e-01
7.737768017493882e-08	1.262675e-01
7.740166921073272e-08	1.262676e-01
7.744964728232050e-08	1.262677e-01
7.746164180021744e-08	1.262677e-01
7.748563083601133e-08	1.262678e-01
7.753360890759912e-08	1.262679e-01
7.754560342549606e-08	1.262680e-01
7.756959246128995e-08	1.262680e-01
7.761757053287773e-08	1.262681e-01
7.762956505077467e-08	1.262681e-01
7.765355408656857e-08	1.262682e-01
7.770153215815635e-08	1.262683e-01
7.771352667605329e-08	1.262684e-01
7.773751571184718e-08	1.262684e-01
7.778549378343497e-08	1.262685e-01
7.779748830133191e-08	1.262686e-01
7.782147733712580e-08	1.262686e-01
7.786945540871358e-08	1.262687e-01
7.788144992661052e-08	1.262688e-01
7.790543896240442e-08	1.262688e-01
7.795341703399220e-08	1.262689e-01
7.796541155188914e-08	1.262690e-01
7.798940058768303e-08	1.262690e-01
7.803737865927082e-08	1.262691e-01
7.804937317716776e-08	1.262692e-01
7.807336221296165e-08	1.262692e-01
7.812134028454943e-08	1.262693e-01
7.813333480244637e-08	1.262694e-01
7.815732383824027e-08	1.262694e-01
7.820530190982805e-08	1.262695e-01
7.821729642772499e-08	1.262695e-01
7.824128546351888e-08	1.262696e-01
7.828926353510667e-08	1.262697e-01
7.830125805300361e-08	1.262697e-01
7.832524708879750e-08	1.262698e-01
7.837322516038528e-08	1.262699e-01
7.838521967828222e-08	1.262700e-01
7.840920871407612e-08	1.262700e-01
7.845718678566390e-08	1.262701e-01
7.846918130356084e-08	1.262701e-01
7.849317033935473e-08	1.262702e-01
7.854114841094252e-08	1.262703e-01
7.855314292883946e-08	1.262703e-01
7.857713196463335e-08	1.262704e-01
7.862511003622113e-08	1.262705e-01
7.863710455411807e-08	1.262705e-01
7.866109358991197e-08	1.262706e-01
7.870907166149975e-08	1.262707e-01
7.872106617939669e-08	1.262707e-01
7.874505521519058e-08	1.262708e-01
7.879303328677837e-08	1.262709e-01
7.880502780467531e-08	1.262709e-01
7.882901684046920e-08	1.262710e-01
7.887699491205698e-08	1.262711e-01
7.888898942995392e-08	1.262711e-01
7.891297846574782e-08	1.262712e-01
7.896095653733560e-08	1.262713e-01
7.897295105523254e-08	1.262713e-01
7.899694009102643e-08	1.262714e-01
7.904491816261422e-08	1.262715e-01
7.905691268051116e-08	1.262715e-01
7.908090171630505e-08	1.262715e-01
7.912887978789283e-08	1.262717e-01
7.914087430578977e-08	1.262717e-01
7.916486334158367e-08	1.262717e-01
7.921284141317145e-08	1.262718e-01
7.922483593106839e-08	1.262719e-01
7.924882496686228e-08	1.262719e-01
7.929680303845007e-08	1.262720e-01
7.930879755634701e-08	1.262721e-01
7.933278659214090e-08	1.262721e-01
7.938076466372868e-08	1.262722e-01
7.939275918162562e-08	1.262722e-01
7.941674821741952e-08	1.262723e-01
7.946472628900730e-08	1.262724e-01
7.947672080690424e-08	1.262724e-01
7.950070984269813e-08	1.262725e-01
7.954868791428592e-08	1.262726e-01
7.956068243218286e-08	1.262726e-01
7.958467146797675e-08	1.262727e-01
7.963264953956453e-08	1.262728e-01
7.964464405746147e-08	1.262728e-01
7.966863309325537e-08	1.262728e-01
7.971661116484315e-08	1.262729e-01
7.972860568274009e-08	1.262730e-01
7.975259471853398e-08	1.262730e-01
7.980057279012177e-08	1.262731e-01
7.981256730801871e-08	1.262732e-01
7.983655634381260e-08	1.262732e-01
7.988453441540038e-08	1.262733e-01
7.989652893329732e-08	1.262733e-01
7.992051796909122e-08	1.262734e-01
7.996849604067900e-08	1.262735e-01
7.998049055857594e-08	1.262735e-01
8.000447959436983e-08	1.262736e-01
8.005245766595762e-08	1.262737e-01
8.006445218385456e-08	1.262737e-01
8.008844121964845e-08	1.262738e-01
8.013641929123623e-08	1.262739e-01
8.014841380913317e-08	1.262739e-01
8.017240284492707e-08	1.262739e-01
8.022038091651485e-08	1.262740e-01
8.023237543441179e-08	1.262741e-01
8.025636447020568e-08	1.262741e-01
8.030434254179347e-08	1.262742e-01
8.031633705969041e-08	1.262742e-01
8.034032609548430e-08	1.262743e-01
8.038830416707208e-08	1.262744e-01
8.040029868496902e-08	1.262744e-01
8.042428772076292e-08	1.262745e-01
8.047226579235070e-08	1.262746e-01
8.048426031024764e-08	1.262746e-01
8.050824934604153e-08	1.262746e-01
8.055622741762932e-08	1.262747e-01
8.056822193552626e-08	1.262748e-01
8.059221097132015e-08	1.262748e-01
8.064018904290793e-08	1.262749e-01
8.065218356080487e-08	1.262749e-01
8.067617259659877e-08	1.262750e-01
8.072415066818655e-08	1.262751e-01
8.073614518608349e-08	1.262751e-01
8.076013422187738e-08	1.262752e-01
8.080811229346517e-08	1.262753e-01
8.082010681136211e-08	1.262753e-01
8.084409584715600e-08	1.262753e-01
8.089207391874378e-08	1.262754e-01
8.090406843664072e-08	1.262755e-01
8.092805747243461e-08	1.262755e-01
8.097603554402240e-08	1.262756e-01
8.098803006191934e-08	1.262756e-01
8.101201909771323e-08	1.262757e-01
8.105999716930102e-08	1.262758e-01
8.107199168719796e-08	1.262758e-01
8.109598072299185e-08	1.262759e-01
8.114395879457963e-08	1.262760e-01
8.115595331247657e-08	1.262760e-01
8.117994234827046e-08	1.262760e-01
8.122792041985825e-08	1.262761e-01
8.123991493775519e-08	1.262762e-01
8.126390397354908e-08	1.262762e-01
8.131188204513687e-08	1.262763e-01
8.132387656303381e-08	1.262763e-01
8.134786559882770e-08	1.262764e-01
8.139584367041548e-08	1.262765e-01
8.140783818831242e-08	1.262765e-01
8.143182722410631e-08	1.262765e-01
8.147980529569410e-08	1.262766e-01
8.149179981359104e-08	1.262766e-01
8.151578884938493e-08	1.262767e-01
8.152178610833341e-08	1.262767e-01
8.152328542307052e-08	1.262767e-01
8.152628405254476e-08	1.262767e-01
8.153228131149323e-08	1.262767e-01
8.154427582939017e-08	1.262767e-01
8.156826486518407e-08	1.262768e-01
8.161624293677185e-08	1.262769e-01
8.162823745466879e-08	1.262769e-01
8.165222649046268e-08	1.262770e-01
8.170020456205047e-08	1.262771e-01
8.171219907994741e-08	1.262771e-01
8.173618811574130e-08	1.262771e-01
8.178416618732908e-08	1.262772e-01
8.179616070522602e-08	1.262773e-01
8.182014974101992e-08	1.262773e-01
8.186812781260770e-08	1.262774e-01
8.188012233050464e-08	1.262774e-01
8.190411136629853e-08	1.262775e-01
8.195208943788632e-08	1.262776e-01
8.196408395578326e-08	1.262776e-01
8.198807299157715e-08	1.262776e-01
8.203605106316493e-08	1.262777e-01
8.204804558106187e-08	1.262777e-01
8.207203461685577e-08	1.262778e-01
8.212001268844355e-08	1.262779e-01
8.213200720634049e-08	1.262779e-01
8.215599624213438e-08	1.262779e-01
8.220397431372217e-08	1.262780e-01
8.221596883161911e-08	1.262780e-01
8.223995786741300e-08	1.262781e-01
8.228793593900078e-08	1.262782e-01
8.229993045689772e-08	1.262782e-01
8.232391949269162e-08	1.262783e-01
8.237189756427940e-08	1.262783e-01
8.238389208217634e-08	1.262784e-01
8.240788111797023e-08	1.262784e-01
8.245585918955802e-08	1.262785e-01
8.246785370745496e-08	1.262785e-01
8.249184274324885e-08	1.262785e-01
8.253982081483663e-08	1.262786e-01
8.255181533273357e-08	1.262787e-01
8.257580436852747e-08	1.262787e-01
8.262378244011525e-08	1.262788e-01
8.263577695801219e-08	1.262788e-01
8.265976599380608e-08	1.262789e-01
8.270774406539387e-08	1.262790e-01
8.271973858329081e-08	1.262790e-01
8.274372761908470e-08	1.262790e-01
8.279170569067248e-08	1.262791e-01
8.280370020856942e-08	1.262791e-01
8.282768924436332e-08	1.262792e-01
8.287566731595110e-08	1.262792e-01
8.288766183384804e-08	1.262793e-01
8.291165086964193e-08	1.262793e-01
8.295962894122972e-08	1.262794e-01
8.297162345912666e-08	1.262794e-01
8.299561249492055e-08	1.262795e-01
8.304359056650833e-08	1.262795e-01
8.305558508440527e-08	1.262796e-01
8.307957412019917e-08	1.262796e-01
8.312755219178695e-08	1.262797e-01
8.313954670968389e-08	1.262797e-01
8.316353574547778e-08	1.262797e-01
8.321151381706557e-08	1.262798e-01
8.322350833496251e-08	1.262798e-01
8.324749737075640e-08	1.262799e-01
8.329547544234418e-08	1.262800e-01
8.330746996024112e-08	1.262800e-01
8.333145899603502e-08	1.262800e-01
8.337943706762280e-08	1.262801e-01
8.339143158551974e-08	1.262801e-01
8.341542062131363e-08	1.262802e-01
8.346339869290142e-08	1.262803e-01
8.347539321079836e-08	1.262803e-01
8.349938224659225e-08	1.262803e-01
8.354736031818003e-08	1.262804e-01
8.355935483607697e-08	1.262804e-01
8.358334387187087e-08	1.262805e-01
8.363132194345865e-08	1.262805e-01
8.364331646135559e-08	1.262806e-01
8.366730549714948e-08	1.262806e-01
8.371528356873727e-08	1.262807e-01
8.372727808663421e-08	1.262807e-01
8.375126712242810e-08	1.262807e-01
8.379924519401588e-08	1.262808e-01
8.381123971191282e-08	1.262808e-01
8.383522874770672e-08	1.262809e-01
8.384122600665519e-08	1.262809e-01
8.385322052455213e-08	1.262809e-01
8.387720956034602e-08	1.262809e-01
8.392518763193381e-08	1.262810e-01
8.393718214983075e-08	1.262811e-01
8.396117118562464e-08	1.262811e-01
8.400914925721243e-08	1.262812e-01
8.402114377510937e-08	1.262812e-01
8.404513281090326e-08	1.262812e-01
8.409311088249104e-08	1.262813e-01
8.410510540038798e-08	1.262813e-01
8.412909443618187e-08	1.262814e-01
8.417707250776966e-08	1.262814e-01
8.418906702566660e-08	1.262815e-01
8.421305606146049e-08	1.262815e-01
8.426103413304828e-08	1.262816e-01
8.427302865094522e-08	1.262816e-01
8.429701768673911e-08	1.262816e-01
8.434499575832689e-08	1.262817e-01
8.435699027622383e-08	1.262817e-01
8.438097931201772e-08	1.262818e-01
8.442895738360551e-08	1.262818e-01
8.444095190150245e-08	1.262818e-01
8.446494093729634e-08	1.262819e-01
8.451291900888413e-08	1.262820e-01
8.452491352678107e-08	1.262820e-01
8.454890256257496e-08	1.262820e-01
8.459688063416274e-08	1.262821e-01
8.460887515205968e-08	1.262821e-01
8.463286418785357e-08	1.262821e-01
8.468084225944136e-08	1.262822e-01
8.469283677733830e-08	1.262822e-01
8.471682581313219e-08	1.262823e-01
8.476480388471998e-08	1.262823e-01
8.477679840261692e-08	1.262824e-01
8.480078743841081e-08	1.262824e-01
8.484876550999859e-08	1.262825e-01
8.486076002789553e-08	1.262825e-01
8.488474906368942e-08	1.262825e-01
8.493272713527721e-08	1.262826e-01
8.494472165317415e-08	1.262826e-01
8.496871068896804e-08	1.262826e-01
8.501668876055583e-08	1.262827e-01
8.502868327845277e-08	1.262827e-01
8.505267231424666e-08	1.262828e-01
8.510065038583444e-08	1.262828e-01
8.511264490373138e-08	1.262829e-01
8.513663393952527e-08	1.262829e-01
8.518461201111306e-08	1.262830e-01
8.519660652901000e-08	1.262830e-01
8.522059556480389e-08	1.262830e-01
8.526857363639168e-08	1.262831e-01
8.528056815428862e-08	1.262831e-01
8.530455719008251e-08	1.262831e-01
8.535253526167029e-08	1.262832e-01
8.536452977956723e-08	1.262832e-01
8.538851881536112e-08	1.262833e-01
8.543649688694891e-08	1.262833e-01
8.544849140484585e-08	1.262833e-01
8.547248044063974e-08	1.262834e-01
8.552045851222753e-08	1.262834e-01
