time	V(signal)	V(vout)
6.272011770647975e-06	-1.074840e-04	1.506137e+00
6.291543020647975e-06	-1.074839e-04	1.474887e+00
6.311074270647975e-06	-1.074840e-04	1.443253e+00
6.330605520647975e-06	-1.074839e-04	1.411365e+00
6.350136770647975e-06	-1.074840e-04	1.379342e+00
6.369668020647975e-06	-1.074839e-04	1.347287e+00
6.389199270647975e-06	-1.074840e-04	1.315293e+00
6.408730520647975e-06	-1.074839e-04	1.283443e+00
6.428261770647975e-06	-1.074840e-04	1.251809e+00
6.447793020647975e-06	-1.074839e-04	1.220458e+00
6.467324270647975e-06	-1.074839e-04	1.189444e+00
6.486855520647975e-06	-1.074839e-04	1.158819e+00
6.506386770647975e-06	-1.074839e-04	1.128624e+00
6.525918020647975e-06	-1.074839e-04	1.098899e+00
6.545449270647975e-06	-1.074839e-04	1.069675e+00
6.564980520647975e-06	-1.074839e-04	1.040980e+00
6.584511770647975e-06	-1.074839e-04	1.012837e+00
6.604043020647976e-06	-1.074839e-04	9.852659e-01
6.623574270647976e-06	-1.074839e-04	9.582816e-01
6.643105520647976e-06	-1.074839e-04	9.318972e-01
6.662636770647976e-06	-1.074839e-04	9.061223e-01
6.682168020647976e-06	-1.074839e-04	8.809639e-01
6.701699270647976e-06	-1.074839e-04	8.564268e-01
6.721230520647976e-06	-1.074839e-04	8.325137e-01
6.740761770647976e-06	-1.074839e-04	8.092250e-01
6.760293020647976e-06	-1.074839e-04	7.865599e-01
6.779824270647976e-06	-1.074839e-04	7.645156e-01
6.799355520647976e-06	-1.074839e-04	7.430884e-01
6.818886770647976e-06	-1.074839e-04	7.222731e-01
6.838418020647976e-06	-1.074839e-04	7.020632e-01
6.857949270647976e-06	-1.074839e-04	6.824518e-01
6.877480520647976e-06	-1.074839e-04	6.634307e-01
6.897011770647976e-06	-1.074839e-04	6.449912e-01
6.916543020647976e-06	-1.074839e-04	6.271238e-01
6.936074270647976e-06	-1.074839e-04	6.098186e-01
6.955605520647976e-06	-1.074839e-04	5.930653e-01
6.975136770647977e-06	-1.074839e-04	5.768529e-01
6.994668020647977e-06	-1.074839e-04	5.611704e-01
7.014199270647977e-06	-1.074839e-04	5.460063e-01
7.033730520647977e-06	-1.074839e-04	5.313489e-01
7.053261770647977e-06	-1.074839e-04	5.171866e-01
7.072793020647977e-06	-1.074839e-04	5.035074e-01
7.092324270647977e-06	-1.074839e-04	4.902993e-01
7.111855520647977e-06	-1.074839e-04	4.775503e-01
7.131386770647977e-06	-1.074839e-04	4.652485e-01
7.150918020647977e-06	-1.074839e-04	4.533819e-01
7.170449270647977e-06	-1.074839e-04	4.419385e-01
7.189980520647977e-06	-1.074839e-04	4.309065e-01
7.209511770647977e-06	-1.074839e-04	4.202742e-01
7.229043020647977e-06	-1.074839e-04	4.100299e-01
7.248574270647977e-06	-1.074839e-04	4.001622e-01
7.268105520647977e-06	-1.074839e-04	3.906598e-01
7.287636770647977e-06	-1.074839e-04	3.815115e-01
7.307168020647977e-06	-1.074839e-04	3.727064e-01
7.326699270647977e-06	-1.074839e-04	3.642337e-01
7.346230520647977e-06	-1.074839e-04	3.560829e-01
7.365761770647978e-06	-1.074839e-04	3.482434e-01
7.385293020647978e-06	-1.074839e-04	3.407053e-01
7.404824270647978e-06	-1.074839e-04	3.334586e-01
7.424355520647978e-06	-1.074839e-04	3.264935e-01
7.443886770647978e-06	-1.074839e-04	3.198006e-01
7.463418020647978e-06	-1.074839e-04	3.133706e-01
7.482949270647978e-06	-1.074839e-04	3.071945e-01
7.502480520647978e-06	-1.074839e-04	3.012635e-01
7.522011770647978e-06	-1.074839e-04	2.955690e-01
7.541543020647978e-06	-1.074839e-04	2.901026e-01
7.561074270647978e-06	-1.074839e-04	2.848563e-01
7.580605520647978e-06	-1.074839e-04	2.798221e-01
7.600136770647978e-06	-1.074839e-04	2.749925e-01
7.619668020647978e-06	-1.074839e-04	2.703598e-01
7.639199270647977e-06	-1.074839e-04	2.659170e-01
7.658730520647977e-06	-1.074839e-04	2.616570e-01
7.678261770647976e-06	-1.074839e-04	2.575730e-01
7.697793020647975e-06	-1.074839e-04	2.536584e-01
7.717324270647974e-06	-1.074839e-04	2.499068e-01
7.736855520647973e-06	-1.074839e-04	2.463121e-01
7.756386770647973e-06	-1.074839e-04	2.428683e-01
7.775918020647972e-06	-1.074839e-04	2.395696e-01
7.795449270647971e-06	-1.074839e-04	2.364103e-01
7.814980520647970e-06	-1.074839e-04	2.333852e-01
7.834511770647969e-06	-1.074839e-04	2.304889e-01
7.854043020647969e-06	-1.074839e-04	2.277164e-01
7.873574270647968e-06	-1.074839e-04	2.250628e-01
7.893105520647967e-06	-1.074839e-04	2.225234e-01
7.912636770647966e-06	-1.074839e-04	2.200937e-01
7.932168020647965e-06	-1.074839e-04	2.177693e-01
7.951699270647965e-06	-1.074839e-04	2.155459e-01
7.971230520647964e-06	-1.074839e-04	2.134195e-01
7.990761770647963e-06	-1.074839e-04	2.113861e-01
8.010293020647962e-06	-1.074839e-04	2.094420e-01
8.029824270647961e-06	-1.074839e-04	2.075835e-01
8.049355520647961e-06	-1.074839e-04	2.058070e-01
8.068886770647960e-06	-1.074839e-04	2.041093e-01
8.088418020647959e-06	-1.074839e-04	2.024869e-01
