time	V(signal)	V(vout)
1.066302034096428e-06	1.127972e-03	1.709116e-01
1.066553001787860e-06	1.132833e-03	1.709176e-01
1.067054937170725e-06	1.142555e-03	1.709295e-01
1.068058807936455e-06	1.161989e-03	1.709538e-01
1.068309775627888e-06	1.166845e-03	1.709600e-01
1.068811711010753e-06	1.176555e-03	1.709725e-01
1.069815581776483e-06	1.195967e-03	1.709978e-01
1.070066549467915e-06	1.200817e-03	1.710043e-01
1.070568484850780e-06	1.210516e-03	1.710172e-01
1.071572355616510e-06	1.229905e-03	1.710436e-01
1.071823323307942e-06	1.234749e-03	1.710503e-01
1.072325258690807e-06	1.244437e-03	1.710638e-01
1.073329129456537e-06	1.263803e-03	1.710912e-01
1.073580097147970e-06	1.268642e-03	1.710982e-01
1.074082032530835e-06	1.278319e-03	1.711122e-01
1.075085903296564e-06	1.297662e-03	1.711406e-01
1.075336870987997e-06	1.302495e-03	1.711479e-01
1.075838806370862e-06	1.312161e-03	1.711624e-01
1.076842677136592e-06	1.331481e-03	1.711919e-01
1.077093644828024e-06	1.336309e-03	1.711994e-01
1.077595580210889e-06	1.345963e-03	1.712145e-01
1.078599450976619e-06	1.365261e-03	1.712451e-01
1.078850418668051e-06	1.370083e-03	1.712529e-01
1.079352354050916e-06	1.379726e-03	1.712685e-01
1.080356224816646e-06	1.399002e-03	1.713002e-01
1.080607192508079e-06	1.403818e-03	1.713083e-01
1.081109127890944e-06	1.413450e-03	1.713244e-01
1.082112998656673e-06	1.432703e-03	1.713573e-01
1.082363966348106e-06	1.437514e-03	1.713656e-01
1.082865901730971e-06	1.447134e-03	1.713823e-01
1.083869772496701e-06	1.466365e-03	1.714162e-01
1.084120740188133e-06	1.471170e-03	1.714249e-01
1.084622675570998e-06	1.480779e-03	1.714421e-01
1.085626546336728e-06	1.499988e-03	1.714772e-01
1.085877514028160e-06	1.504787e-03	1.714861e-01
1.086379449411025e-06	1.514385e-03	1.715040e-01
1.087383320176755e-06	1.533571e-03	1.715402e-01
1.087634287868188e-06	1.538365e-03	1.715494e-01
1.088136223251053e-06	1.547952e-03	1.715678e-01
1.089140094016783e-06	1.567115e-03	1.716052e-01
1.089391061708215e-06	1.571904e-03	1.716146e-01
1.089892997091080e-06	1.581479e-03	1.716336e-01
1.090896867856810e-06	1.600620e-03	1.716722e-01
1.091147835548242e-06	1.605403e-03	1.716820e-01
1.091649770931107e-06	1.614968e-03	1.717016e-01
1.092653641696837e-06	1.634087e-03	1.717413e-01
1.092904609388270e-06	1.638864e-03	1.717513e-01
1.093406544771135e-06	1.648417e-03	1.717715e-01
1.094410415536864e-06	1.667514e-03	1.718124e-01
1.094661383228297e-06	1.672285e-03	1.718228e-01
1.095163318611162e-06	1.681827e-03	1.718436e-01
1.096167189376892e-06	1.700902e-03	1.718857e-01
1.096418157068324e-06	1.705668e-03	1.718964e-01
1.096920092451189e-06	1.715199e-03	1.719178e-01
1.097923963216919e-06	1.734251e-03	1.719611e-01
1.098174930908351e-06	1.739012e-03	1.719721e-01
1.098676866291216e-06	1.748531e-03	1.719941e-01
1.099680737056946e-06	1.767561e-03	1.720386e-01
1.099931704748379e-06	1.772317e-03	1.720499e-01
1.100433640131244e-06	1.781825e-03	1.720725e-01
1.101437510896973e-06	1.800833e-03	1.721183e-01
1.101688478588406e-06	1.805583e-03	1.721299e-01
1.102190413971271e-06	1.815080e-03	1.721531e-01
1.103194284737001e-06	1.834066e-03	1.722002e-01
1.103445252428433e-06	1.838810e-03	1.722121e-01
1.103947187811298e-06	1.848296e-03	1.722360e-01
1.104951058577028e-06	1.867260e-03	1.722842e-01
1.105202026268460e-06	1.871998e-03	1.722964e-01
1.105703961651325e-06	1.881474e-03	1.723210e-01
1.106707832417055e-06	1.900415e-03	1.723705e-01
1.106958800108488e-06	1.905148e-03	1.723830e-01
1.107460735491353e-06	1.914613e-03	1.724082e-01
1.108464606257083e-06	1.933532e-03	1.724590e-01
1.108715573948515e-06	1.938259e-03	1.724719e-01
1.109217509331380e-06	1.947713e-03	1.724977e-01
1.110221380097110e-06	1.966610e-03	1.725498e-01
1.110472347788542e-06	1.971332e-03	1.725629e-01
1.110974283171407e-06	1.980775e-03	1.725894e-01
1.111978153937137e-06	1.999650e-03	1.726428e-01
1.112229121628570e-06	2.004366e-03	1.726563e-01
1.112731057011435e-06	2.013798e-03	1.726834e-01
1.113734927777164e-06	2.032651e-03	1.727381e-01
1.113985895468597e-06	2.037362e-03	1.727519e-01
1.114487830851462e-06	2.046783e-03	1.727796e-01
1.115491701617192e-06	2.065614e-03	1.728357e-01
1.115742669308624e-06	2.070319e-03	1.728498e-01
1.116244604691489e-06	2.079729e-03	1.728782e-01
1.117248475457219e-06	2.098538e-03	1.729356e-01
1.117499443148651e-06	2.103238e-03	1.729501e-01
1.118001378531516e-06	2.112637e-03	1.729791e-01
1.119005249297246e-06	2.131424e-03	1.730378e-01
1.119256216988679e-06	2.136119e-03	1.730527e-01
1.119758152371544e-06	2.145506e-03	1.730824e-01
1.120762023137273e-06	2.164272e-03	1.731424e-01
1.121012990828706e-06	2.168961e-03	1.731576e-01
1.121514926211571e-06	2.178338e-03	1.731880e-01
1.122518796977301e-06	2.197082e-03	1.732494e-01
1.122769764668733e-06	2.201765e-03	1.732649e-01
1.123271700051598e-06	2.211131e-03	1.732959e-01
1.124275570817328e-06	2.229853e-03	1.733587e-01
1.124526538508761e-06	2.234531e-03	1.733745e-01
1.125028473891626e-06	2.243886e-03	1.734063e-01
1.126032344657355e-06	2.262586e-03	1.734704e-01
1.126283312348788e-06	2.267259e-03	1.734866e-01
1.126785247731653e-06	2.276603e-03	1.735190e-01
1.127789118497383e-06	2.295281e-03	1.735845e-01
1.128040086188815e-06	2.299949e-03	1.736011e-01
1.128542021571680e-06	2.309282e-03	1.736342e-01
1.129545892337410e-06	2.327938e-03	1.737011e-01
1.129796860028842e-06	2.332600e-03	1.737179e-01
1.130298795411707e-06	2.341922e-03	1.737518e-01
1.131302666177437e-06	2.360557e-03	1.738200e-01
1.131553633868870e-06	2.365214e-03	1.738373e-01
1.132055569251735e-06	2.374525e-03	1.738718e-01
1.133059440017464e-06	2.393138e-03	1.739415e-01
1.133310407708897e-06	2.397789e-03	1.739590e-01
1.133812343091762e-06	2.407090e-03	1.739943e-01
1.134816213857492e-06	2.425682e-03	1.740654e-01
1.135067181548924e-06	2.430327e-03	1.740833e-01
1.135569116931789e-06	2.439617e-03	1.741192e-01
1.136572987697519e-06	2.458187e-03	1.741917e-01
1.136823955388951e-06	2.462827e-03	1.742100e-01
1.137325890771816e-06	2.472106e-03	1.742466e-01
1.138329761537546e-06	2.490654e-03	1.743205e-01
1.138580729228979e-06	2.495289e-03	1.743392e-01
1.139082664611844e-06	2.504557e-03	1.743765e-01
1.140086535377573e-06	2.523084e-03	1.744519e-01
1.140337503069006e-06	2.527713e-03	1.744709e-01
1.140839438451871e-06	2.536971e-03	1.745090e-01
1.141843309217601e-06	2.555476e-03	1.745857e-01
1.142094276909033e-06	2.560100e-03	1.746051e-01
1.142596212291898e-06	2.569346e-03	1.746439e-01
1.143600083057628e-06	2.587830e-03	1.747221e-01
1.143851050749061e-06	2.592449e-03	1.747418e-01
1.144352986131926e-06	2.601685e-03	1.747814e-01
1.145356856897655e-06	2.620147e-03	1.748610e-01
1.145607824589088e-06	2.624760e-03	1.748811e-01
1.146109759971953e-06	2.633985e-03	1.749214e-01
1.147113630737683e-06	2.652426e-03	1.750025e-01
1.147364598429115e-06	2.657034e-03	1.750229e-01
1.147866533811980e-06	2.666248e-03	1.750639e-01
1.148870404577710e-06	2.684667e-03	1.751465e-01
1.149121372269142e-06	2.689270e-03	1.751673e-01
1.149623307652007e-06	2.698474e-03	1.752090e-01
1.150627178417737e-06	2.716871e-03	1.752931e-01
1.150878146109170e-06	2.721469e-03	1.753143e-01
1.151380081492035e-06	2.730662e-03	1.753567e-01
1.152383952257764e-06	2.749038e-03	1.754423e-01
1.152634919949197e-06	2.753630e-03	1.754638e-01
1.153136855332062e-06	2.762812e-03	1.755070e-01
1.154140726097792e-06	2.781167e-03	1.755941e-01
1.154391693789224e-06	2.785754e-03	1.756160e-01
1.154893629172089e-06	2.794925e-03	1.756599e-01
1.155897499937819e-06	2.813259e-03	1.757484e-01
1.156148467629251e-06	2.817840e-03	1.757707e-01
1.156650403012116e-06	2.827001e-03	1.758154e-01
1.157654273777846e-06	2.845314e-03	1.759054e-01
1.157905241469279e-06	2.849890e-03	1.759281e-01
1.158407176852144e-06	2.859040e-03	1.759735e-01
1.159411047617873e-06	2.877331e-03	1.760650e-01
1.159662015309306e-06	2.881902e-03	1.760881e-01
1.160163950692171e-06	2.891041e-03	1.761342e-01
1.161167821457901e-06	2.909311e-03	1.762273e-01
1.161418789149333e-06	2.913876e-03	1.762507e-01
1.161920724532198e-06	2.923005e-03	1.762976e-01
1.162924595297928e-06	2.941254e-03	1.763922e-01
1.163175562989361e-06	2.945814e-03	1.764160e-01
1.163677498372226e-06	2.954932e-03	1.764636e-01
1.164681369137955e-06	2.973160e-03	1.765597e-01
1.164932336829388e-06	2.977714e-03	1.765839e-01
1.165434272212253e-06	2.986822e-03	1.766323e-01
1.166438142977983e-06	3.005028e-03	1.767299e-01
1.166689110669415e-06	3.009578e-03	1.767544e-01
1.167191046052280e-06	3.018675e-03	1.768037e-01
1.168194916818010e-06	3.036860e-03	1.769028e-01
1.168445884509442e-06	3.041404e-03	1.769277e-01
1.168947819892307e-06	3.050491e-03	1.769777e-01
