time	V(vout)
8.909556519208167e-06	1.792001e-01
8.909709107098792e-06	1.791992e-01
8.909747254071448e-06	1.791989e-01
8.909823548016761e-06	1.791985e-01
8.909976135907385e-06	1.791975e-01
8.910014282880042e-06	1.791973e-01
8.910090576825355e-06	1.791968e-01
8.910243164715979e-06	1.791959e-01
8.910281311688636e-06	1.791956e-01
8.910357605633949e-06	1.791951e-01
8.910510193524573e-06	1.791942e-01
8.910548340497230e-06	1.791939e-01
8.910624634442543e-06	1.791935e-01
8.910777222333167e-06	1.791925e-01
8.910815369305823e-06	1.791923e-01
8.910891663251136e-06	1.791918e-01
8.911044251141761e-06	1.791909e-01
8.911082398114417e-06	1.791906e-01
8.911158692059730e-06	1.791901e-01
8.911311279950355e-06	1.791892e-01
8.911349426923011e-06	1.791890e-01
8.911425720868324e-06	1.791885e-01
8.911578308758948e-06	1.791875e-01
8.911616455731605e-06	1.791873e-01
8.911692749676918e-06	1.791868e-01
8.911845337567542e-06	1.791859e-01
8.911883484540199e-06	1.791856e-01
8.911959778485512e-06	1.791852e-01
8.912112366376136e-06	1.791842e-01
8.912150513348792e-06	1.791840e-01
8.912226807294105e-06	1.791835e-01
8.912379395184730e-06	1.791825e-01
8.912417542157386e-06	1.791823e-01
8.912493836102699e-06	1.791818e-01
8.912646423993324e-06	1.791809e-01
8.912684570965980e-06	1.791806e-01
8.912760864911293e-06	1.791801e-01
8.912913452801917e-06	1.791792e-01
8.912951599774574e-06	1.791789e-01
8.913027893719887e-06	1.791785e-01
8.913180481610511e-06	1.791775e-01
8.913218628583168e-06	1.791773e-01
8.913294922528481e-06	1.791768e-01
8.913447510419105e-06	1.791758e-01
8.913485657391761e-06	1.791756e-01
8.913561951337074e-06	1.791751e-01
8.913714539227699e-06	1.791741e-01
8.913752686200355e-06	1.791739e-01
8.913828980145668e-06	1.791734e-01
8.913981568036293e-06	1.791724e-01
8.914019715008949e-06	1.791722e-01
8.914096008954262e-06	1.791717e-01
8.914115082440589e-06	1.791716e-01
8.914119850812171e-06	1.791716e-01
8.914129387555335e-06	1.791715e-01
8.914148461041662e-06	1.791714e-01
8.914186608014319e-06	1.791711e-01
8.914262901959632e-06	1.791707e-01
8.914415489850256e-06	1.791697e-01
8.914453636822913e-06	1.791695e-01
8.914529930768226e-06	1.791690e-01
8.914682518658850e-06	1.791680e-01
8.914720665631507e-06	1.791678e-01
8.914796959576820e-06	1.791673e-01
8.914816033063147e-06	1.791672e-01
8.914854180035803e-06	1.791669e-01
8.914930473981116e-06	1.791665e-01
8.915083061871741e-06	1.791655e-01
8.915121208844397e-06	1.791653e-01
8.915197502789710e-06	1.791648e-01
8.915350090680335e-06	1.791639e-01
8.915388237652991e-06	1.791636e-01
8.915464531598304e-06	1.791631e-01
8.915617119488928e-06	1.791622e-01
8.915655266461585e-06	1.791620e-01
8.915731560406898e-06	1.791615e-01
8.915750633893225e-06	1.791614e-01
8.915788780865882e-06	1.791611e-01
8.915865074811195e-06	1.791606e-01
8.916017662701819e-06	1.791597e-01
8.916055809674476e-06	1.791594e-01
8.916132103619789e-06	1.791590e-01
8.916284691510413e-06	1.791580e-01
8.916322838483069e-06	1.791578e-01
8.916399132428382e-06	1.791573e-01
8.916551720319007e-06	1.791563e-01
8.916589867291663e-06	1.791561e-01
8.916666161236976e-06	1.791556e-01
8.916818749127600e-06	1.791546e-01
8.916856896100257e-06	1.791544e-01
8.916933190045570e-06	1.791539e-01
8.916952263531897e-06	1.791538e-01
8.916990410504554e-06	1.791535e-01
8.917066704449867e-06	1.791530e-01
8.917085777936194e-06	1.791529e-01
8.917123924908851e-06	1.791527e-01
8.917200218854164e-06	1.791522e-01
8.917352806744788e-06	1.791512e-01
8.917390953717445e-06	1.791510e-01
8.917467247662758e-06	1.791505e-01
8.917619835553382e-06	1.791495e-01
8.917657982526038e-06	1.791493e-01
8.917734276471351e-06	1.791488e-01
8.917753349957679e-06	1.791486e-01
8.917791496930335e-06	1.791484e-01
8.917867790875648e-06	1.791479e-01
8.918020378766273e-06	1.791469e-01
8.918058525738929e-06	1.791466e-01
8.918134819684242e-06	1.791461e-01
8.918287407574866e-06	1.791451e-01
8.918325554547523e-06	1.791449e-01
8.918401848492836e-06	1.791444e-01
8.918554436383460e-06	1.791434e-01
8.918592583356117e-06	1.791431e-01
8.918668877301430e-06	1.791426e-01
8.918821465192054e-06	1.791416e-01
8.918826233563636e-06	1.791416e-01
8.918835770306800e-06	1.791415e-01
8.918854843793127e-06	1.791414e-01
8.918892990765783e-06	1.791411e-01
8.918969284711096e-06	1.791406e-01
8.919121872601721e-06	1.791396e-01
8.919160019574377e-06	1.791393e-01
8.919236313519690e-06	1.791388e-01
8.919388901410315e-06	1.791378e-01
8.919427048382971e-06	1.791375e-01
8.919503342328284e-06	1.791370e-01
8.919655930218908e-06	1.791360e-01
8.919694077191565e-06	1.791358e-01
8.919770371136878e-06	1.791353e-01
8.919922959027502e-06	1.791343e-01
8.919961106000159e-06	1.791340e-01
8.920037399945472e-06	1.791335e-01
8.920189987836096e-06	1.791325e-01
8.920228134808753e-06	1.791323e-01
8.920304428754066e-06	1.791318e-01
8.920457016644690e-06	1.791308e-01
8.920495163617346e-06	1.791305e-01
8.920571457562659e-06	1.791300e-01
8.920724045453284e-06	1.791290e-01
8.920762192425940e-06	1.791288e-01
8.920838486371253e-06	1.791283e-01
8.920857559857581e-06	1.791281e-01
8.920895706830237e-06	1.791279e-01
8.920972000775550e-06	1.791274e-01
8.921124588666174e-06	1.791264e-01
8.921162735638831e-06	1.791261e-01
8.921239029584144e-06	1.791256e-01
8.921391617474768e-06	1.791246e-01
8.921429764447425e-06	1.791244e-01
8.921506058392738e-06	1.791239e-01
8.921658646283362e-06	1.791229e-01
8.921696793256018e-06	1.791226e-01
8.921773087201331e-06	1.791221e-01
8.921775471387123e-06	1.791221e-01
8.921780239758705e-06	1.791221e-01
8.921789776501869e-06	1.791220e-01
8.921808849988196e-06	1.791219e-01
8.921846996960853e-06	1.791216e-01
8.921923290906166e-06	1.791211e-01
8.922075878796790e-06	1.791201e-01
8.922114025769446e-06	1.791199e-01
8.922190319714759e-06	1.791194e-01
8.922342907605384e-06	1.791184e-01
8.922381054578040e-06	1.791181e-01
8.922457348523353e-06	1.791176e-01
8.922609936413978e-06	1.791167e-01
8.922648083386634e-06	1.791164e-01
8.922724377331947e-06	1.791160e-01
8.922876965222571e-06	1.791150e-01
8.922915112195228e-06	1.791147e-01
8.922991406140541e-06	1.791143e-01
8.923143994031165e-06	1.791133e-01
8.923182141003822e-06	1.791130e-01
8.923258434949135e-06	1.791126e-01
8.923411022839759e-06	1.791116e-01
8.923449169812415e-06	1.791114e-01
8.923525463757728e-06	1.791109e-01
8.923544537244056e-06	1.791108e-01
8.923582684216712e-06	1.791105e-01
8.923658978162025e-06	1.791101e-01
8.923811566052650e-06	1.791091e-01
8.923849713025306e-06	1.791089e-01
8.923926006970619e-06	1.791084e-01
8.924078594861244e-06	1.791074e-01
8.924116741833900e-06	1.791072e-01
8.924126278577064e-06	1.791071e-01
8.924145352063391e-06	1.791070e-01
8.924183499036048e-06	1.791068e-01
8.924259792981361e-06	1.791063e-01
8.924278866467688e-06	1.791062e-01
8.924317013440345e-06	1.791060e-01
8.924393307385658e-06	1.791055e-01
8.924545895276282e-06	1.791045e-01
8.924584042248938e-06	1.791043e-01
8.924660336194251e-06	1.791038e-01
8.924812924084876e-06	1.791029e-01
8.924851071057532e-06	1.791026e-01
8.924860607800696e-06	1.791026e-01
8.924879681287023e-06	1.791024e-01
8.924917828259680e-06	1.791022e-01
8.924994122204993e-06	1.791017e-01
8.925146710095617e-06	1.791008e-01
8.925184857068274e-06	1.791005e-01
8.925261151013587e-06	1.791001e-01
8.925413738904211e-06	1.790991e-01
8.925451885876867e-06	1.790989e-01
