Model,MDO32
Firmware Version,1.6.0

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,1e-06
Horizontal Delay,2.86e-06
Sample Interval,1e-09
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.5
Vertical Position,-3.04
,
,
,
Label,
TIME,CH1
-1.390e-06,-0.00453125
-1.389e-06,-0.00679688
-1.388e-06,-0.00789062
-1.387e-06,-0.0059375
-1.386e-06,-0.00929687
-1.385e-06,-0.0075
-1.384e-06,-0.00632813
-1.383e-06,-0.00632813
-1.382e-06,-0.00625
-1.381e-06,-0.00796875
-1.380e-06,-0.00648438
-1.379e-06,-0.0078125
-1.378e-06,-0.00507813
-1.377e-06,-0.0040625
-1.376e-06,-0.00757812
-1.375e-06,-0.00679688
-1.374e-06,-0.00710937
-1.373e-06,-0.00671875
-1.372e-06,-0.0059375
-1.371e-06,-0.00921875
-1.370e-06,-0.00414063
-1.369e-06,-0.0096875
-1.368e-06,-0.0071875
-1.367e-06,-0.0117969
-1.366e-06,-0.0065625
-1.365e-06,-0.00703125
-1.364e-06,-0.00757812
-1.363e-06,-0.00398437
-1.362e-06,-0.0109375
-1.361e-06,-0.00953125
-1.360e-06,-0.00554688
-1.359e-06,-0.0108594
-1.358e-06,-0.0065625
-1.357e-06,-0.0084375
-1.356e-06,-0.00664062
-1.355e-06,-0.00703125
-1.354e-06,-0.00632813
-1.353e-06,-0.00804688
-1.352e-06,-0.00679688
-1.351e-06,-0.00898438
-1.350e-06,-0.006875
-1.349e-06,-0.00703125
-1.348e-06,-0.00453125
-1.347e-06,-0.0100781
-1.346e-06,-0.0075
-1.345e-06,-0.00601563
-1.344e-06,-0.0071875
-1.343e-06,-0.0107812
-1.342e-06,-0.0084375
-1.341e-06,-0.00609375
-1.340e-06,-0.00609375
-1.339e-06,-0.00890625
-1.338e-06,-0.00796875
-1.337e-06,-0.00390625
-1.336e-06,-0.00476563
-1.335e-06,-0.00953125
-1.334e-06,-0.00898438
-1.333e-06,-0.0101563
-1.332e-06,-0.0084375
-1.331e-06,-0.0065625
-1.330e-06,-0.0111719
-1.329e-06,-0.005
-1.328e-06,-0.0065625
-1.327e-06,-0.010625
-1.326e-06,-0.00742187
-1.325e-06,-0.00679688
-1.324e-06,-0.00625
-1.323e-06,-0.0078125
-1.322e-06,-0.00460938
-1.321e-06,-0.00710937
-1.320e-06,-0.00773438
-1.319e-06,-0.00929687
-1.318e-06,-0.00765625
-1.317e-06,-0.00648438
-1.316e-06,-0.00578125
-1.315e-06,-0.00453125
-1.314e-06,-0.00734375
-1.313e-06,-0.00554688
-1.312e-06,-0.00601563
-1.311e-06,-0.00625
-1.310e-06,-0.00789062
-1.309e-06,-0.00507813
-1.308e-06,-0.00585938
-1.307e-06,-0.01
-1.306e-06,-0.00859375
-1.305e-06,-0.00695313
-1.304e-06,-0.00875
-1.303e-06,-0.0101563
-1.302e-06,-0.01
-1.301e-06,-0.0071875
-1.300e-06,-0.008125
-1.299e-06,-0.00539062
-1.298e-06,-0.00953125
-1.297e-06,-0.0103906
-1.296e-06,-0.0108594
-1.295e-06,-0.00554688
-1.294e-06,-0.0059375
-1.293e-06,-0.00234375
-1.292e-06,-0.0078125
-1.291e-06,-0.00820313
-1.290e-06,-0.0100781
-1.289e-06,-0.009375
-1.288e-06,-0.0113281
-1.287e-06,-0.0075
-1.286e-06,-0.00898438
-1.285e-06,-0.00546875
-1.284e-06,-0.00632813
-1.283e-06,-0.00789062
-1.282e-06,-0.00734375
-1.281e-06,-0.00765625
-1.280e-06,-0.00664062
-1.279e-06,-0.0075
-1.278e-06,-0.00507813
-1.277e-06,-0.00789062
-1.276e-06,-0.0111719
-1.275e-06,-0.00804688
-1.274e-06,-0.00835937
-1.273e-06,-0.00671875
-1.272e-06,-0.00890625
-1.271e-06,-0.00414063
-1.270e-06,-0.0065625
-1.269e-06,-0.00734375
-1.268e-06,-0.0108594
-1.267e-06,-0.00570312
-1.266e-06,-0.0096875
-1.265e-06,-0.00578125
-1.264e-06,-0.00507813
-1.263e-06,-0.00835937
-1.262e-06,-0.00359375
-1.261e-06,-0.0078125
-1.260e-06,-0.00445312
-1.259e-06,-0.00789062
-1.258e-06,-0.0046875
-1.257e-06,-0.00601563
-1.256e-06,-0.00726563
-1.255e-06,-0.00960937
-1.254e-06,-0.00671875
-1.253e-06,-0.005625
-1.252e-06,-0.00546875
-1.251e-06,-0.00515625
-1.250e-06,-0.00578125
-1.249e-06,-0.00703125
-1.248e-06,-0.00632813
-1.247e-06,-0.00625
-1.246e-06,-0.00539062
-1.245e-06,-0.00609375
-1.244e-06,-0.00835937
-1.243e-06,-0.00671875
-1.242e-06,-0.00585938
-1.241e-06,-0.00382813
-1.240e-06,-0.0084375
-1.239e-06,-0.0078125
-1.238e-06,-0.00351562
