time	V(vout2)
Step Information: C=100p R=500  (Step: 1/25)
5.274787772844567e-07	2.541810e+00
5.275398124407066e-07	2.541759e+00
5.276618827532066e-07	2.541657e+00
5.279060233782067e-07	2.541456e+00
5.283943046282066e-07	2.541056e+00
5.285163749407066e-07	2.540954e+00
5.287605155657067e-07	2.540748e+00
5.292487968157066e-07	2.540327e+00
5.302253593157067e-07	2.539477e+00
5.321784843157067e-07	2.537747e+00
5.341316093157067e-07	2.535980e+00
5.360847343157068e-07	2.534182e+00
5.380378593157068e-07	2.532357e+00
5.382819999407069e-07	2.532131e+00
5.387702811907068e-07	2.531670e+00
5.397468436907069e-07	2.530753e+00
5.416999686907069e-07	2.528874e+00
5.419441093157069e-07	2.528641e+00
5.420051444719569e-07	2.528582e+00
5.421272147844569e-07	2.528462e+00
5.421577323625819e-07	2.528432e+00
5.421653617571132e-07	2.528425e+00
5.421806205461757e-07	2.528410e+00
5.422111381243007e-07	2.528381e+00
5.422721732805507e-07	2.528322e+00
5.422874320696132e-07	2.528308e+00
5.423179496477382e-07	2.528279e+00
5.423789848039882e-07	2.528221e+00
5.423942435930507e-07	2.528206e+00
5.424247611711757e-07	2.528178e+00
5.424857963274257e-07	2.528120e+00
5.426078666399257e-07	2.528005e+00
5.428520072649257e-07	2.527776e+00
5.433402885149257e-07	2.527314e+00
5.433555473039882e-07	2.527300e+00
5.433593620012539e-07	2.527296e+00
5.433669913957851e-07	2.527289e+00
5.433822501848476e-07	2.527274e+00
5.434127677629727e-07	2.527245e+00
5.434738029192226e-07	2.527186e+00
5.435958732317226e-07	2.527068e+00
5.438400138567227e-07	2.526832e+00
5.443282951067226e-07	2.526361e+00
5.453048576067226e-07	2.525410e+00
5.472579826067227e-07	2.523451e+00
5.492111076067227e-07	2.521442e+00
5.494552482317228e-07	2.521189e+00
5.499435294817227e-07	2.520689e+00
5.509200919817228e-07	2.519680e+00
5.511642326067228e-07	2.519427e+00
5.516525138567227e-07	2.518919e+00
5.526290763567228e-07	2.517896e+00
5.528732169817228e-07	2.517640e+00
5.533614982317228e-07	2.517124e+00
5.543380607317228e-07	2.516088e+00
5.545822013567228e-07	2.515830e+00
5.550704826067228e-07	2.515307e+00
5.560470451067228e-07	2.514259e+00
5.562911857317228e-07	2.513996e+00
5.567794669817228e-07	2.513468e+00
5.569015372942228e-07	2.513335e+00
5.571456779192228e-07	2.513069e+00
5.576339591692228e-07	2.512531e+00
5.577560294817228e-07	2.512395e+00
5.580001701067228e-07	2.512123e+00
5.584884513567228e-07	2.511575e+00
5.594650138567228e-07	2.510482e+00
5.614181388567229e-07	2.508281e+00
5.633712638567229e-07	2.506059e+00
5.653243888567230e-07	2.503820e+00
5.672775138567230e-07	2.501564e+00
5.692306388567231e-07	2.499281e+00
5.711837638567231e-07	2.496982e+00
5.714279044817231e-07	2.496697e+00
5.719161857317231e-07	2.496120e+00
5.728927482317231e-07	2.494971e+00
5.748458732317232e-07	2.492636e+00
5.767989982317232e-07	2.490273e+00
5.787521232317233e-07	2.487895e+00
5.807052482317233e-07	2.485497e+00
5.826583732317234e-07	2.483081e+00
5.846114982317234e-07	2.480643e+00
5.865646232317235e-07	2.478188e+00
5.865951408098485e-07	2.478159e+00
5.866561759660984e-07	2.478079e+00
5.867782462785985e-07	2.477921e+00
5.870223869035985e-07	2.477610e+00
5.875106681535985e-07	2.476996e+00
5.876327384660985e-07	2.476842e+00
5.878768790910985e-07	2.476534e+00
5.883651603410985e-07	2.475914e+00
5.893417228410985e-07	2.474675e+00
5.912948478410985e-07	2.472169e+00
5.932479728410986e-07	2.469633e+00
5.952010978410986e-07	2.467089e+00
5.971542228410987e-07	2.464533e+00
5.991073478410987e-07	2.461960e+00
6.010604728410988e-07	2.459370e+00
6.013046134660988e-07	2.459049e+00
6.017928947160988e-07	2.458402e+00
6.027694572160988e-07	2.457116e+00
6.030135978410988e-07	2.456793e+00
6.035018790910988e-07	2.456147e+00
6.036239494035988e-07	2.455986e+00
6.038680900285988e-07	2.455662e+00
6.043563712785988e-07	2.455012e+00
6.053329337785988e-07	2.453708e+00
6.072860587785989e-07	2.451071e+00
6.073165763567239e-07	2.451038e+00
6.073776115129738e-07	2.450952e+00
6.073928703020364e-07	2.450931e+00
6.074233878801614e-07	2.450888e+00
6.074844230364113e-07	2.450804e+00
6.074996818254739e-07	2.450783e+00
6.075301994035989e-07	2.450740e+00
6.075912345598488e-07	2.450656e+00
6.076064933489114e-07	2.450635e+00
6.076370109270364e-07	2.450593e+00
6.076980460832863e-07	2.450510e+00
6.077133048723489e-07	2.450489e+00
6.077438224504739e-07	2.450447e+00
6.078048576067238e-07	2.450364e+00
6.079269279192239e-07	2.450198e+00
6.079574454973489e-07	2.450156e+00
6.079650748918801e-07	2.450146e+00
6.079803336809427e-07	2.450125e+00
6.080108512590677e-07	2.450084e+00
6.080718864153176e-07	2.450001e+00
6.080871452043802e-07	2.449981e+00
6.081176627825052e-07	2.449940e+00
