time	V(vout)	V(vout2)
5.337890276492507e-09	1.259278e-01	1.641732e+00
5.384765273432068e-09	1.259278e-01	1.641720e+00
5.396484022666959e-09	1.259278e-01	1.641718e+00
5.419921521136739e-09	1.259278e-01	1.641712e+00
5.466796518076300e-09	1.259279e-01	1.641700e+00
5.478515267311190e-09	1.259279e-01	1.641698e+00
5.501952765780971e-09	1.259279e-01	1.641692e+00
5.548827762720532e-09	1.259279e-01	1.641680e+00
5.560546511955422e-09	1.259279e-01	1.641678e+00
5.583984010425203e-09	1.259279e-01	1.641672e+00
5.630859007364764e-09	1.259280e-01	1.641661e+00
5.642577756599654e-09	1.259280e-01	1.641658e+00
5.666015255069434e-09	1.259280e-01	1.641652e+00
5.712890252008995e-09	1.259280e-01	1.641641e+00
5.724609001243885e-09	1.259280e-01	1.641639e+00
5.748046499713666e-09	1.259280e-01	1.641633e+00
5.794921496653227e-09	1.259281e-01	1.641622e+00
5.806640245888117e-09	1.259281e-01	1.641619e+00
5.830077744357898e-09	1.259281e-01	1.641614e+00
5.876952741297459e-09	1.259281e-01	1.641603e+00
5.888671490532349e-09	1.259281e-01	1.641600e+00
5.912108989002129e-09	1.259282e-01	1.641595e+00
5.958983985941690e-09	1.259282e-01	1.641584e+00
5.970702735176581e-09	1.259282e-01	1.641581e+00
5.994140233646361e-09	1.259282e-01	1.641576e+00
6.041015230585922e-09	1.259283e-01	1.641565e+00
6.052733979820812e-09	1.259283e-01	1.641563e+00
6.076171478290593e-09	1.259283e-01	1.641557e+00
6.123046475230154e-09	1.259283e-01	1.641547e+00
6.134765224465044e-09	1.259283e-01	1.641544e+00
6.158202722934825e-09	1.259283e-01	1.641539e+00
6.205077719874386e-09	1.259284e-01	1.641528e+00
6.216796469109276e-09	1.259284e-01	1.641526e+00
6.240233967579056e-09	1.259284e-01	1.641521e+00
6.287108964518617e-09	1.259284e-01	1.641510e+00
6.298827713753508e-09	1.259284e-01	1.641508e+00
6.322265212223288e-09	1.259284e-01	1.641503e+00
6.369140209162849e-09	1.259285e-01	1.641492e+00
6.380858958397739e-09	1.259285e-01	1.641490e+00
6.404296456867520e-09	1.259285e-01	1.641485e+00
6.451171453807081e-09	1.259285e-01	1.641475e+00
6.462890203041971e-09	1.259286e-01	1.641472e+00
6.486327701511752e-09	1.259286e-01	1.641467e+00
6.533202698451313e-09	1.259286e-01	1.641457e+00
6.544921447686203e-09	1.259286e-01	1.641455e+00
6.568358946155983e-09	1.259286e-01	1.641450e+00
6.615233943095544e-09	1.259287e-01	1.641440e+00
6.626952692330434e-09	1.259287e-01	1.641437e+00
6.650390190800215e-09	1.259287e-01	1.641432e+00
6.697265187739776e-09	1.259287e-01	1.641423e+00
6.708983936974666e-09	1.259287e-01	1.641420e+00
6.732421435444447e-09	1.259287e-01	1.641415e+00
6.779296432384008e-09	1.259288e-01	1.641406e+00
6.791015181618898e-09	1.259288e-01	1.641403e+00
6.814452680088678e-09	1.259288e-01	1.641398e+00
6.861327677028239e-09	1.259288e-01	1.641389e+00
6.873046426263130e-09	1.259288e-01	1.641386e+00
6.896483924732910e-09	1.259289e-01	1.641382e+00
6.943358921672471e-09	1.259289e-01	1.641372e+00
6.955077670907361e-09	1.259289e-01	1.641370e+00
